Arthela,YR,Date DD/MM/ÅÅÅÅ
Trastsångare, Acrocephalus arundinaceus,1950,20/05/1950
Trastsångare, Acrocephalus arundinaceus,1959,14/05/1959
Trastsångare, Acrocephalus arundinaceus,1965,12/06/1965
Trastsångare, Acrocephalus arundinaceus,1971,26/05/1971
Trastsångare, Acrocephalus arundinaceus,1974,19/05/1974
Trastsångare, Acrocephalus arundinaceus,1976,12/05/1976
Trastsångare, Acrocephalus arundinaceus,1978,22/05/1978
Trastsångare, Acrocephalus arundinaceus,1980,27/05/1980
Trastsångare, Acrocephalus arundinaceus,1987,16/05/1987
Trastsångare, Acrocephalus arundinaceus,1988,07/06/1988
Trastsångare, Acrocephalus arundinaceus,1989,25/05/1989
Trastsångare, Acrocephalus arundinaceus,1990,04/06/1990
Trastsångare, Acrocephalus arundinaceus,1994,19/05/1994
Trastsångare, Acrocephalus arundinaceus,2004,29/05/2004
Trastsångare, Acrocephalus arundinaceus,2009,22/05/2009
Trastsångare, Acrocephalus arundinaceus,2014,28/05/2014
Rörsångare, Acrocephalus scirpaceus,1950,24/05/1950
Rörsångare, Acrocephalus scirpaceus,1951,31/05/1951
Rörsångare, Acrocephalus scirpaceus,1952,03/06/1952
Rörsångare, Acrocephalus scirpaceus,1953,30/05/1953
Rörsångare, Acrocephalus scirpaceus,1954,31/05/1954
Rörsångare, Acrocephalus scirpaceus,1955,01/06/1955
Rörsångare, Acrocephalus scirpaceus,1956,30/05/1956
Rörsångare, Acrocephalus scirpaceus,1957,06/06/1957
Rörsångare, Acrocephalus scirpaceus,1958,02/06/1958
Rörsångare, Acrocephalus scirpaceus,1959,29/05/1959
Rörsångare, Acrocephalus scirpaceus,1960,29/05/1960
Rörsångare, Acrocephalus scirpaceus,1961,06/06/1961
Rörsångare, Acrocephalus scirpaceus,1962,04/06/1962
Rörsångare, Acrocephalus scirpaceus,1963,06/06/1963
Rörsångare, Acrocephalus scirpaceus,1964,02/06/1964
Rörsångare, Acrocephalus scirpaceus,1965,28/05/1965
Rörsångare, Acrocephalus scirpaceus,1967,09/06/1967
Rörsångare, Acrocephalus scirpaceus,1968,30/05/1968
Rörsångare, Acrocephalus scirpaceus,1969,01/06/1969
Rörsångare, Acrocephalus scirpaceus,1970,07/06/1970
Rörsångare, Acrocephalus scirpaceus,1971,08/06/1971
Rörsångare, Acrocephalus scirpaceus,1972,01/06/1972
Rörsångare, Acrocephalus scirpaceus,1973,01/06/1973
Rörsångare, Acrocephalus scirpaceus,1974,03/06/1974
Rörsångare, Acrocephalus scirpaceus,1975,05/06/1975
Rörsångare, Acrocephalus scirpaceus,1976,08/06/1976
Rörsångare, Acrocephalus scirpaceus,1977,05/06/1977
Rörsångare, Acrocephalus scirpaceus,1978,02/06/1978
Rörsångare, Acrocephalus scirpaceus,1979,02/06/1979
Rörsångare, Acrocephalus scirpaceus,1980,04/06/1980
Rörsångare, Acrocephalus scirpaceus,1981,31/05/1981
Rörsångare, Acrocephalus scirpaceus,1982,24/05/1982
Rörsångare, Acrocephalus scirpaceus,1983,03/06/1983
Rörsångare, Acrocephalus scirpaceus,1984,04/06/1984
Rörsångare, Acrocephalus scirpaceus,1985,31/05/1985
Rörsångare, Acrocephalus scirpaceus,1986,28/05/1986
Rörsångare, Acrocephalus scirpaceus,1987,02/06/1987
Rörsångare, Acrocephalus scirpaceus,1988,30/05/1988
Rörsångare, Acrocephalus scirpaceus,1989,04/06/1989
Rörsångare, Acrocephalus scirpaceus,1990,03/06/1990
Rörsångare, Acrocephalus scirpaceus,1991,04/06/1991
Rörsångare, Acrocephalus scirpaceus,1992,03/06/1992
Rörsångare, Acrocephalus scirpaceus,1993,28/05/1993
Rörsångare, Acrocephalus scirpaceus,1994,26/05/1994
Rörsångare, Acrocephalus scirpaceus,1995,28/05/1995
Rörsångare, Acrocephalus scirpaceus,1996,01/06/1996
Rörsångare, Acrocephalus scirpaceus,1997,03/06/1997
Rörsångare, Acrocephalus scirpaceus,1998,31/05/1998
Rörsångare, Acrocephalus scirpaceus,1999,25/05/1999
Rörsångare, Acrocephalus scirpaceus,2000,28/05/2000
Rörsångare, Acrocephalus scirpaceus,2001,27/05/2001
Rörsångare, Acrocephalus scirpaceus,2002,30/05/2002
Rörsångare, Acrocephalus scirpaceus,2003,29/05/2003
Rörsångare, Acrocephalus scirpaceus,2004,28/05/2004
Rörsångare, Acrocephalus scirpaceus,2005,27/05/2005
Rörsångare, Acrocephalus scirpaceus,2006,23/05/2006
